0,40,33
2,33,50
6,2,49
9,40,13
11,47,32
15,25,37
15,42,25
17,7,43
18,38,10
28,47,7
31,42,1
35,13,8
35,11,27
35,27,26
45,20,30
50,24,16
51,50,1
53,31,41
53,48,32
54,25,23
63,22,13
69,39,41
72,38,42
73,23,43
82,3,24
83,5,49
89,40,43
93,33,4
97,2,12
103,28,41
114,36,21
115,6,24
116,11,48
117,41,49
119,7,39
131,45,29
132,47,46
133,1,25
135,19,9
136,9,17
142,28,15
142,6,28
142,2,4
145,47,4
148,49,9
149,19,48
150,33,41
152,4,36
160,11,49
167,2,50
173,24,50
182,8,8
187,50,48
200,22,27
201,48,4
203,37,16
213,30,45
215,28,42
223,36,1
225,1,33
227,40,41
234,47,13
240,1,4
243,42,14
245,39,6
255,50,25
258,12,21
260,46,20
264,33,45
264,6,22
266,14,15
269,39,3
272,41,11
282,6,12
289,24,2
293,11,36
299,47,1
302,17,31
305,43,21
307,13,13
309,44,33
312,10,17
313,38,6
315,2,27
321,33,9
323,29,45
332,19,34
336,11,43
342,40,39
347,8,41
356,25,32
358,1,36
360,10,35
369,25,17
376,42,27
378,8,44
383,37,3
390,35,26
395,2,22
398,25,46
401,49,32
401,6,50
406,38,30
412,32,43
416,30,24
424,25,28
425,29,9
426,22,32
431,4,49
433,15,27
440,29,24
442,32,40
446,47,5
455,49,45
459,5,1
460,34,26
470,31,34
475,24,29
475,18,24
477,24,17
489,34,31
496,48,46
503,5,35
504,40,48
509,30,5
517,46,26
518,9,6
518,15,28
519,3,35
523,26,8
532,39,9
537,15,20
546,12,45
547,17,16
552,23,4
559,37,11
564,26,5
568,20,48
573,46,1
579,49,6
583,32,1
586,7,11
588,31,1
594,20,33
600,50,26
602,15,13
606,36,10
606,27,5
609,10,19
618,35,1
620,3,31
625,10,24
633,3,16
635,45,38
637,42,4
640,6,14
648,21,26
653,7,23
660,29,18
662,48,42
663,13,50
665,50,32
671,18,10
672,11,7
673,34,29
677,49,17
680,32,14
690,4,28
696,19,10
700,9,34
702,12,3
708,3,2
711,46,15
713,40,4
719,19,46
719,42,43
727,38,20
729,32,9
736,20,22
737,18,21
740,5,37
742,18,21
744,28,48
744,24,46
746,33,48
751,26,18
755,41,15
760,5,45
763,24,11
772,30,7
773,10,27
776,31,46
777,3,21
778,29,11
779,43,4
781,25,47
786,22,31
788,8,19
790,2,34
793,38,40
802,40,17
805,15,35
812,6,11
814,19,48
819,42,36
822,43,9
825,34,23
835,49,32
839,48,47
844,6,27
849,33,32
852,25,35
855,4,47
861,45,8
861,25,21
870,39,16
871,4,35
875,14,45
875,33,25
880,7,41
882,32,17
882,20,28
890,39,20
892,33,45
892,20,34
895,16,42
897,18,6
900,46,14
903,23,39
916,23,11
919,23,2
924,48,22
927,11,47
932,45,14
938,1,29
941,18,18
941,39,2
945,18,26
946,31,42
952,23,13
953,1,3
953,30,13
956,31,34
962,33,17
971,18,33
973,25,1
977,36,6
979,45,20
982,3,2
982,5,21
983,33,36
989,39,47
994,50,50
994,7,50
997,19,45
1003,34,44
1005,19,41
1017,44,28
1022,15,21
1023,7,47
1028,34,33
1034,11,44
1037,44,14
1056,38,43
1058,21,4
1064,1,19
1065,8,14
1067,14,8
1074,44,32
1076,31,16
1079,17,48
1084,15,25
1084,22,37
1087,46,1
1091,47,31
1093,26,29
1100,32,41
1103,36,33
1106,2,44
1109,29,46
1111,3,8
1118,22,10
1120,24,40
1124,2,4
1130,4,20
1131,47,15
1136,27,37
1137,19,6
1147,19,40
1148,8,40
1151,8,27
1152,18,13
1156,17,4
1164,40,32
1166,25,2
1167,24,4
1170,7,27
1174,45,23
1178,4,34
1180,42,43
